날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
,면적,320,3,7,9,10,14,11,14,22,5,12,21,10,8,16,17,13,12,6,11,15,8,16,19,24,17
2012년 07월,동(호),4120,46,63,65,108,118,212,177,244,142,170,339,108,84,146,158,180,221,66,250,146,155,191,229,302,200
,면적,300,4,5,6,9,10,17,13,19,12,12,20,9,6,12,13,12,12,5,12,12,9,17,19,23,13
2012년 08월,동(호),3190,33,53,50,84,57,78,100,174,57,137,278,99,91,164,112,144,149,60,157,182,115,151,268,237,160
,면적,229,2,6,4,7,5,6,7,14,4,10,17,8,7,12,9,9,8,4,8,15,5,14,17,18,11
2012년 09월,동(호),3002,29,40,48,106,44,154,116,167,41,130,247,95,110,137,129,129,135,57,139,190,104,127,206,210,112
,면적,228,2,4,5,9,3,13,9,13,3,9,15,7,9,14,11,9,8,4,8,16,6,12,15,16,8
2012년 10월,동(호),5969,60,49,97,156,91,329,214,269,102,228,487,147,219,157,225,242,248,117,244,203,160,243,942,465,275
,면적,440,4,5,10,12,7,17,14,21,8,16,29,12,21,13,17,17,16,8,13,17,11,22,73,36,21
2012년 11월,동(호),6897,119,74,75,152,120,203,319,242,91,250,601,186,256,220,233,272,297,134,295,323,282,367,824,614,348
,면적,503,6,7,7,13,11,15,17,19,7,18,37,14,21,19,19,21,18,7,16,28,14,34,65,48,25
2012년 12월,동(호),9770,92,89,140,307,148,265,237,349,159,310,894,263,299,293,413,420,408,140,494,602,286,1112,665,881,504
,면적,722,7,8,13,24,13,21,17,27,13,21,56,20,26,24,34,28,24,10,26,42,18,92,55,68,34
2013년 01월,동(호),3041,29,64,68,122,21,60,176,95,38,58,110,103,163,235,57,91,109,67,128,224,49,590,173,112,99
,면적,219,2,8,4,12,2,4,8,7,3,4,7,10,12,18,5,6,5,4,5,18,2,46,14,9,5
2013년 02월,동(호),4211,39,42,113,195,74,170,88,175,59,173,345,121,101,189,152,195,109,71,188,233,97,348,339,320,275
,면적,321,3,3,14,17,6,13,6,13,5,12,21,9,8,17,12,14,8,5,11,18,6,32,28,25,17
2013년 03월,동(호),6820,43,68,184,244,99,206,158,336,135,283,568,174,127,234,239,404,240,122,321,295,226,574,500,568,472
,면적,507,4,6,16,22,8,16,11,26,10,20,37,14,10,20,18,20,17,9,19,24,13,53,42,43,29
2013년 04월,동(호),8291,100,79,171,332,133,272,265,322,122,402,674,295,133,339,311,410,352,115,308,483,282,706,575,708,402
,면적,625,6,7,17,23,11,21,19,24,9,24,44,22,10,29,25,28,25,9,20,40,15,65,50,55,28
2013년 05월,동(호),9537,113,93,235,299,138,424,307,418,136,416,767,311,197,303,415,509,375,138,334,374,267,602,685,1192,489
,면적,702,6,7,16,24,10,41,19,32,10,26,49,24,16,25,33,37,26,10,24,31,16,59,53,74,32
2013년 06월,동(호),12697,203,176,209,445,220,632,330,577,214,511,1024,391,328,527,522,547,461,173,395,441,326,693,1138,1593,621
,면적,947,10,17,19,38,19,48,23,45,16,36,65,30,27,48,42,39,31,13,31,36,24,68,91,93,38
2013년 07월,동(호),4768,184,37,54,96,54,269,109,188,62,129,248,148,103,204,117,140,157,101,279,139,84,137,657,919,153
,면적,313,4,3,5,7,4,21,8,14,4,9,15,11,8,17,8,10,10,7,10,12,6,13,49,50,9
2013년 08월,동(호),5460,108,56,55,117,56,204,135,209,72,183,394,135,127,170,140,197,217,96,296,186,134,179,427,1319,248
,면적,350,7,5,5,9,5,15,10,16,5,12,24,10,10,14,10,13,14,7,12,17,10,15,35,57,13
2013년 09월,동(호),6069,74,64,84,205,101,283,177,312,112,253,492,220,199,187,193,296,370,132,328,252,189,190,351,737,268
,면적,429,3,6,8,16,9,19,13,24,8,18,31,17,11,15,14,21,23,10,17,22,14,17,28,47,20
2013년 10월,동(호),10083,91,146,143,345,141,397,370,607,181,435,1055,323,257,353,428,740,567,212,393,492,311,479,557,645,415
,면적,744,6,12,13,29,11,27,24,47,14,31,63,26,17,27,33,46,39,15,28,42,23,42,49,50,30
2013년 11월,동(호),9649,53,135,124,348,124,469,457,502,171,488,800,397,239,329,368,682,517,200,352,391,242,477,511,858,415
,면적,718,4,11,12,25,11,35,25,39,13,36,52,32,16,23,29,46,37,12,26,34,18,44,44,61,32
2013년 12월,동(호),10391,71,125,134,272,177,398,322,416,157,414,772,347,286,275,418,563,457,275,462,433,381,974,622,1263,377
,면적,750,5,10,13,22,14,25,21,32,12,27,51,23,18,21,34,40,32,12,30,37,23,82,53,85,27
2014년 01월,동(호),8501,110,101,131,250,130,320,530,320,88,199,508,181,179,221,287,301,314,112,312,342,165,1096,639,1398,267
,면적,653,4,9,12,19,11,21,47,26,7,13,34,14,21,16,25,23,23,7,21,25,11,102,51,90,20
2014년 02월,동(호),10089,113,125,309,337,172,370,406,453,134,316,711,268,228,328,431,477,589,133,515,384,287,891,745,812,555
,면적,764,6,11,26,27,15,26,31,37,10,22,46,21,17,26,35,35,38,10,32,31,21,83,65,60,33
