날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2011년 05월,동(호),4654,55,36,72,142,92,194,151,275,88,236,409,176,195,151,262,250,200,78,156,165,170,252,288,257,304
,면적,359,4,3,7,11,9,15,11,21,7,15,25,15,13,11,22,18,14,5,13,14,13,27,22,21,23
2011년 06월,동(호),4467,54,44,57,116,88,153,130,222,86,206,398,152,169,137,207,323,232,54,159,156,139,273,356,271,285
,면적,346,3,3,5,9,7,12,9,18,7,14,25,13,12,10,18,18,17,4,13,13,11,28,30,24,24
2011년 07월,동(호),4096,44,45,59,117,72,130,158,201,63,187,389,125,107,135,191,235,208,50,163,137,121,201,349,354,255
,면적,318,4,4,6,9,6,10,11,16,5,13,24,10,8,10,15,17,16,4,12,11,9,19,28,30,20
2011년 08월,동(호),4931,38,45,51,170,94,144,166,239,78,226,450,138,122,198,238,329,332,79,194,150,133,226,384,396,311
,면적,372,3,3,4,13,7,11,11,18,6,15,27,11,9,16,20,23,26,6,16,12,10,20,31,32,22
2011년 09월,동(호),4868,52,66,62,133,82,157,168,247,110,259,472,194,119,136,250,270,331,65,210,156,173,217,333,323,283
,면적,372,4,6,5,10,7,12,11,19,8,17,28,17,9,11,20,17,26,4,17,12,13,21,30,27,21
2011년 10월,동(호),4701,39,39,70,140,94,157,168,286,102,240,476,146,103,186,233,268,237,89,185,143,173,189,317,340,281
,면적,354,2,3,7,11,7,12,12,23,8,16,29,12,8,14,18,18,17,6,15,11,13,18,26,27,21
2011년 11월,동(호),4568,49,40,90,138,90,168,151,221,87,202,464,110,119,157,266,263,231,69,171,184,141,203,294,374,286
,면적,351,4,3,8,11,8,13,11,18,7,15,29,9,9,12,22,18,17,5,13,15,11,20,26,32,20
2011년 12월,동(호),6207,73,68,127,165,138,183,186,290,136,253,623,186,161,246,317,355,376,91,247,242,187,272,431,430,424
,면적,486,6,5,11,14,12,14,14,23,10,18,39,16,12,18,26,26,27,6,20,21,14,28,38,36,32
2012년 01월,동(호),1536,17,14,11,26,34,57,45,71,25,57,130,46,40,46,44,80,58,33,63,60,41,109,172,145,112
,면적,119,1,1,1,2,3,4,3,6,2,4,8,4,3,3,4,6,4,2,6,6,3,10,14,11,8
2012년 02월,동(호),3512,34,34,51,87,52,100,114,210,61,157,309,127,82,104,182,183,191,49,177,99,191,156,203,289,270
,면적,258,2,3,5,7,4,7,9,16,4,11,19,11,6,8,16,13,14,4,10,8,8,15,17,22,19
2012년 03월,동(호),4087,31,50,88,104,89,147,157,208,80,194,385,121,106,131,201,209,202,82,220,140,134,181,268,273,286
,면적,308,2,4,8,8,9,11,12,16,6,13,23,9,8,10,17,15,14,6,13,12,10,18,23,22,20
2012년 04월,동(호),4214,57,41,69,111,68,303,149,202,89,207,368,158,121,170,222,196,203,73,173,131,128,162,289,264,260
,면적,326,5,4,8,9,6,24,10,16,7,14,23,13,10,14,17,14,14,5,11,11,9,18,23,21,20
2012년 05월,동(호),3785,49,51,64,105,73,161,146,207,71,171,344,108,104,131,188,212,161,72,198,124,115,139,289,245,257
,면적,287,4,5,6,8,6,12,10,16,5,12,21,8,8,10,15,15,12,5,15,10,9,14,23,20,17
2012년 06월,동(호),3187,44,35,70,80,50,126,99,179,64,158,307,97,88,147,193,163,139,57,123,113,101,127,200,215,212
,면적,241,3,3,7,7,4,9,7,14,5,11,19,8,7,12,15,11,10,4,9,10,7,12,16,17,15
2012년 07월,동(호),2952,43,44,57,76,66,137,105,157,60,155,315,85,73,109,142,144,119,46,122,85,104,146,169,232,161
,면적,229,4,3,5,6,6,11,7,12,5,11,19,7,6,8,11,10,8,3,10,7,8,14,15,19,12
2012년 08월,동(호),2398,32,43,42,63,41,69,67,111,55,127,248,87,66,126,100,118,90,41,80,98,101,104,153,200,136
,면적,183,2,5,4,5,4,5,5,9,4,9,15,7,5,10,8,8,6,3,6,8,5,11,12,16,10
2012년 09월,동(호),2227,24,31,27,67,40,85,67,136,38,123,227,82,51,124,105,108,101,43,93,78,88,82,115,191,101
,면적,173,2,3,3,6,3,7,5,11,3,9,14,6,4,13,9,8,7,3,7,6,6,9,10,15,7
2012년 10월,동(호),4239,34,35,66,113,85,156,130,241,94,214,456,126,115,132,209,213,195,75,140,127,139,186,283,426,249
,면적,326,3,3,7,9,7,12,9,18,7,15,27,10,10,10,16,15,15,6,11,11,10,17,25,34,19
2012년 11월,동(호),5069,48,68,55,111,111,158,128,230,86,238,581,169,131,166,218,242,224,70,152,188,164,277,356,587,311
,면적,394,4,6,5,9,10,13,9,18,6,17,36,13,10,14,17,19,16,5,13,15,12,28,30,46,24
2012년 12월,동(호),7565,65,82,104,209,138,232,207,329,128,296,857,240,149,253,397,368,287,104,270,362,234,551,538,760,405
,면적,594,7,7,10,17,12,19,15,25,10,21,54,19,11,20,33,26,20,8,21,28,17,53,46,63,31
2013년 01월,동(호),1213,19,6,22,35,17,27,39,84,10,49,94,95,32,59,45,66,54,33,42,72,31,54,116,52,60
,면적,96,2,1,1,3,1,2,3,6,1,4,5,9,2,6,4,4,4,2,4,6,2,5,10,4,4
2013년 02월,동(호),3189,30,39,44,116,63,134,72,158,34,160,330,112,72,140,140,168,104,46,115,116,85,173,268,238,232
,면적,246,2,3,5,10,5,10,5,12,3,11,21,9,5,14,11,12,7,3,9,9,5,18,23,19,16
2013년 03월,동(호),5466,34,64,85,171,95,164,143,318,103,257,523,159,104,178,224,251,232,111,208,214,154,404,430,473,367
,면적,426,4,5,7,14,8,13,10,24,8,19,33,13,8,16,17,17,17,9,17,18,11,39,36,38,27
2013년 04월,동(호),6603,55,71,87,234,127,204,209,299,117,321,658,245,120,250,293,364,330,89,245,275,185,425,481,573,346
,면적,518,5,6,9,18,11,16,14,23,9,22,43,19,9,22,23,26,24,7,19,25,13,40,43,48,26
2013년 05월,동(호),7677,69,85,86,257,131,257,230,402,133,352,740,279,165,256,388,450,353,124,298,317,214,472,554,683,382
,면적,595,5,7,8,20,10,20,17,31,9,25,47,22,13,22,32,33,25,9,22,27,14,48,46,55,29
2013년 06월,동(호),10237,102,172,162,409,214,315,296,563,207,489,1003,348,288,427,505,506,417,158,376,395,303,622,711,803,446
,면적,806,8,17,15,34,18,24,21,44,16,35,63,27,24,34,41,37,30,12,30,33,24,61,61,64,33
2013년 07월,동(호),2201,14,28,20,66,41,100,80,174,48,109,217,119,80,107,86,114,124,51,82,107,71,69,102,85,107
,면적,165,1,2,2,5,3,7,6,13,3,7,13,9,6,10,6,8,9,3,6,10,5,7,9,6,8
2013년 08월,동(호),3179,51,53,38,103,51,151,112,200,52,165,365,112,102,114,111,183,179,85,144,140,125,115,144,152,132
,면적,240,6,5,3,8,4,11,8,15,4,11,23,9,8,10,8,13,12,6,9,12,9,11,13,12,10
2013년 09월,동(호),4774,50,59,68,164,96,205,157,298,105,238,476,186,106,161,176,266,325,125,184,224,170,161,249,286,239
,면적,359,2,5,6,12,8,16,11,23,8,17,30,15,7,13,13,19,22,10,14,20,12,15,19,23,19
2013년 10월,동(호),8537,85,95,103,252,134,308,283,588,175,412,919,268,201,292,406,573,492,196,345,380,294,347,444,559,386
,면적,652,6,8,9,21,11,24,20,46,14,29,60,21,14,22,32,41,36,14,26,31,22,33,38,45,29
2013년 11월,동(호),7868,50,105,98,263,121,308,319,483,167,398,774,264,220,255,345,544,460,137,317,293,229,390,413,529,386
,면적,607,4,9,10,20,10,23,21,38,13,29,51,21,16,19,28,40,34,10,24,25,17,37,35,43,30
2013년 12월,동(호),7758,64,107,123,238,167,303,216,402,146,319,768,266,237,236,383,466,400,168,340,311,276,422,540,516,344
